"sa2_name","state","count"
"Moonee Ponds","Victoria",50
"Noble Park - East","Victoria",50
"St Albans - North","Victoria",50
"Geelong West - Hamlyn Heights","Victoria",50
"Fortitude Valley","Queensland",50
"Ashmore","Queensland",50
"Edwardstown","South Australia",50
"Currambine - Kinross","Western Australia",50
"Leeming","Western Australia",50
"Sydney (North) - Millers Point","New South Wales",49
"Toorak","Victoria",49
"Deer Park","Victoria",49
"Southport - North","Queensland",49
"Belmont - Ascot - Redcliffe","Western Australia",49
"Thornlie","Western Australia",49
"Rooty Hill - Minchinbury","New South Wales",48
"Freshwater - Brookvale","New South Wales",48
"Jamisontown - South Penrith","New South Wales",48
"Pendle Hill - Girraween","New South Wales",48
"Hunters Hill - Woolwich","New South Wales",48
"Wollongong - West","New South Wales",48
"Port Melbourne","Victoria",48
"Roxburgh Park (South) - Somerton","Victoria",48
"Upper Mount Gravatt","Queensland",48
"Pooraka - Cavan","South Australia",48
"Morphettville","South Australia",48
"Duncraig","Western Australia",48
"Melville","Western Australia",48
"South Launceston","Tasmania",48
"Beacon Hill - Narraweena","New South Wales",47
"Casula","New South Wales",47
"Brunswick East","Victoria",47
"St Kilda - Central","Victoria",47
"Cranbourne West","Victoria",47
"Taylors Hill","Victoria",47
"Kedron - Gordon Park","Queensland",47
"The Gap","Queensland",47
"Browns Plains","Queensland",47
"Seaton - Grange","South Australia",47
"Perth (North) - Highgate","Western Australia",47
"Lethbridge Park - Tregear","New South Wales",46
"Surry Hills","New South Wales",46
"Homebush","New South Wales",46
"Glen Iris - East","Victoria",46
"Reservoir - South West","Victoria",46
"Clayton - Central","Victoria",46
"Carina","Queensland",46
"Woolloongabba","Queensland",46
"Mount Gravatt","Queensland",46
"Parkinson - Drewvale","Queensland",46
"Sunnybank","Queensland",46
"Southport - South","Queensland",46
"Woodville - Cheltenham","South Australia",46
"Bentleigh East - North","Victoria",45
"Matraville - Chifley","New South Wales",44
"Balgowlah - Clontarf - Seaforth","New South Wales",44
"Cranebrook - Castlereagh","New South Wales",44
"Auburn - North","New South Wales",44
"Leppington - Catherine Field","New South Wales",44
"Chipping Norton - Moorebank","New South Wales",44
"Armidale","New South Wales",44
"Melbourne CBD - East","Victoria",44
"Cranbourne East - South","Victoria",44
"Algester","Queensland",44
"Pacific Pines - Gaven","Queensland",44
"Mitcham (SA)","South Australia",44
"Canning Vale - West","Western Australia",44
"Horsley Park - Kemps Creek","New South Wales",43
"Shortland - Jesmond","New South Wales",43
"Oak Park","Victoria",43
"Ardeer - Albion","Victoria",43
"Braybrook","Victoria",43
"Surfers Paradise - South","Queensland",43
"Prospect","South Australia",43
"Gosnells","Western Australia",43
"Castle Hill - East","New South Wales",42
"Coogee - Clovelly","New South Wales",42
"Yagoona - Birrong","New South Wales",42
"Concord West - North Strathfield","New South Wales",42
"Lidcombe","New South Wales",42
"Balgownie - Fairy Meadow","New South Wales",42
"Ascot Vale","Victoria",42
"Craigieburn - North West","Victoria",42
"Noble Park - West","Victoria",42
"Hillside","Victoria",42
"Albany Creek","Queensland",42
"Biggera Waters","Queensland",42
"Butler - Merriwa - Ridgewood","Western Australia",42
"Parkwood - Ferndale - Lynwood","Western Australia",42
"Claymore - Eagle Vale - Raby","New South Wales",41
"Berwick - North","Victoria",41
"Clyde North - South","Victoria",41
"Sunshine","Victoria",41
"New Farm","Queensland",41
"Slacks Creek","Queensland",41
"Arundel","Queensland",41
"Helensvale","Queensland",41
"Panorama","South Australia",41
"Flinders Park","South Australia",41
"Kings Meadows - Punchbowl","Tasmania",41
"Erskineville - Alexandria","New South Wales",40
"Bondi Junction - Waverly","New South Wales",40
"Arncliffe - Bardwell Valley","New South Wales",40
"Mosman - North","New South Wales",40
"Hoxton Park - Carnes Hill - Horningsea Park","New South Wales",40
"Wallsend - Elermore Vale","New South Wales",40
"Springvale","Victoria",40
"Rockbank - Mount Cottrell","Victoria",40
"Truganina - South West","Victoria",40
"North Geelong - Bell Park","Victoria",40
"Pallara - Willawong","Queensland",40
"Doolandella","Queensland",40
"Sheidow Park - Trott Park","South Australia",40
"Toongabbie - West","New South Wales",39
"Denistone","New South Wales",39
"Miranda - Yowie Bay","New South Wales",39
"Malvern East","Victoria",39
"Point Cook - North West","Victoria",39
"Mango Hill","Queensland",39
"Smithfield - Elizabeth North","South Australia",39
"Aberfoyle Park","South Australia",39
"Morphett Vale - East","South Australia",39
"Mount Lawley - Inglewood","Western Australia",39
"Denham Court - Bardia","New South Wales",38
"Brighton (Vic.)","Victoria",38
"Caulfield - North","Victoria",38
"Wishart","Queensland",38
"Paddington - Milton","Queensland",38
"Maylands","Western Australia",38
"Hocking - Pearsall","Western Australia",38
"Chippendale","New South Wales",37
"Double Bay - Darling Point","New South Wales",37
"Manly Vale - Allambie Heights","New South Wales",37
"Maryland - Fletcher - Minmi","New South Wales",37
"Essendon - East","Victoria",37
"Brighton East","Victoria",37
"Pakenham - South West","Victoria",37
"Hoppers Crossing - North","Victoria",37
"McDowall","Queensland",37
"Aspley","Queensland",37
"Coorparoo","Queensland",37
"Sunnybank Hills","Queensland",37
"Elizabeth East","South Australia",37
"Iluka - Burns Beach","Western Australia",37
"Carramar","Western Australia",37
"Maddington - Orange Grove - Martin","Western Australia",37
"Bass Hill - Georges Hall","New South Wales",36
"Rosemeadow - Glen Alpine","New South Wales",36
"Austral - Greendale","New South Wales",36
"Prestons","New South Wales",36
"Sandringham - Black Rock","Victoria",36
"Hadfield","Victoria",36
"Kuraby","Queensland",36
"Durack","Queensland",36
"Woodcroft","South Australia",36
"South Lake - Cockburn Central","Western Australia",36
"Botany","New South Wales",35
"Petersham - Stanmore","New South Wales",35
"Rose Bay - Vaucluse - Watsons Bay","New South Wales",35
"Randwick - North","New South Wales",35
"Annandale (NSW)","New South Wales",35
"Mosman - South","New South Wales",35
"Cabramatta West - Mount Pritchard","New South Wales",35
"West Melbourne - Residential","Victoria",35
"Prahran - Windsor","Victoria",35
"Roxburgh Park - North","Victoria",35
"Warrandyte - Wonga Park","Victoria",35
"Werribee - South","Victoria",35
"Coopers Plains","Queensland",35
"Spring Hill","Queensland",35
"Oxley (Qld)","Queensland",35
"Logan Central","Queensland",35
"Morphett Vale - West","South Australia",35
"Claremont (WA)","Western Australia",35
"Dover Heights","New South Wales",34
"Sutherland - Kirrawee","New South Wales",34
"Brunswick West","Victoria",34
"Bentleigh East - South","Victoria",34
"Preston - East","Victoria",34
"Hoppers Crossing - South","Victoria",34
"Clayfield","Queensland",34
"Robina - East","Queensland",34
"Halls Head - Erskine","Western Australia",34
"Ellenbrook","Western Australia",34
"Bankstown - South","New South Wales",33
"Monterey - Brighton-le-Sands - Kyeemagh","New South Wales",33
"Thornbury","Victoria",33
"Essendon (West) - Aberfeldie","Victoria",33
"Williamstown","Victoria",33
"Upper Kedron - Ferny Grove","Queensland",33
"East Brisbane","Queensland",33
"Bellevue Heights","South Australia",33
"Henley Beach","South Australia",33
"Clarkson","Western Australia",33
"Wanneroo - Sinagra","Western Australia",33
"Piara Waters - Forrestdale","Western Australia",33
"Glenorchy","Tasmania",33
"Bruce","Australian Capital Territory",33
"Peakhurst - Lugarno","New South Wales",32
"Riverwood","New South Wales",32
"Rockdale - Banksia","New South Wales",32
"Mulgoa - Luddenham - Orchard Hills","New South Wales",32
"Cabramatta - Lansvale","New South Wales",32
"Altona North","Victoria",32
"Footscray","Victoria",32
"Shepparton - North","Victoria",32
"Everton Park","Queensland",32
"Greenslopes","Queensland",32
"Holland Park","Queensland",32
"Runcorn","Queensland",32
"Brookfield - Kenmore Hills","Queensland",32
"Robina - West","Queensland",32
"Scarborough","Western Australia",32
"Bidwill - Hebersham - Emerton","New South Wales",31
"Bellevue Hill","New South Wales",31
"Randwick - South","New South Wales",31
"Ashfield - North","New South Wales",31
"Burwood (NSW)","New South Wales",31
"Auburn - South","New South Wales",31
"Abbotsford","Victoria",31
"Redwood Park","South Australia",31
"Marangaroo","Western Australia",31
"Coombs","Australian Capital Territory",31
"Eastlakes","New South Wales",30
"Bondi Beach - North Bondi","New South Wales",30
"Paddington - Moore Park","New South Wales",30
"Padstow","New South Wales",30
"Bradbury - Wedderburn","New South Wales",30
"Lambton - New Lambton","New South Wales",30
"Hampton","Victoria",30
"Mentone","Victoria",30
"Fig Tree Pocket","Queensland",30
"Ascot","Queensland",30
"Wooloowin - Lutwyche","Queensland",30
"Rochedale South - Priestdale","Queensland",30
"Golden Grove","South Australia",30
"Mosman Park - Peppermint Grove","Western Australia",30
"Northam","Western Australia",30
"Newstead","Tasmania",30
"Glendenning - Dean Park","New South Wales",29
"Redfern","New South Wales",29
"Canterbury - South","New South Wales",29
"Wolli Creek","New South Wales",29
"Berala","New South Wales",29
"Edmondson Park","New South Wales",29
"Brunswick - South","Victoria",29
"Coburg - East","Victoria",29
"Keilor Downs","Victoria",29
"Geelong","Victoria",29
"Rochedale - Burbank","Queensland",29
"Robertson","Queensland",29
"Regents Park - Heritage Park","Queensland",29
"Pimpama - South","Queensland",29
"Upper Coomera - North","Queensland",29
"Colonel Light Gardens","South Australia",29
"Tapping - Ashby - Sinagra","Western Australia",29
"Armadale - Wungong - Brookdale","Western Australia",29
"Winthrop","Western Australia",29
"No usual address (NSW)","New South Wales",28
"Brunswick - North","Victoria",28
"Richmond - North","Victoria",28
"Hawthorn - North","Victoria",28
"Ivanhoe East - Eaglemont","Victoria",28
"Tullamarine","Victoria",28
"Sunshine North","Victoria",28
"Newport","Victoria",28
"Werribee - East","Victoria",28
"Norlane","Victoria",28
"Salisbury - Nathan","Queensland",28
"St Agnes - Ridgehaven","South Australia",28
"Lockleys","South Australia",28
"Noranda","Western Australia",28
"Craigie - Beldon","Western Australia",28
"Leumeah - Minto Heights","New South Wales",27
"Newcastle - Cooks Hill","New South Wales",27
"Wagga Wagga - South","New South Wales",27
"North Nowra - Bomaderry","New South Wales",27
"Surrey Hills (East) - Mont Albert","Victoria",27
"Reservoir - North West","Victoria",27
"Altona","Victoria",27
"Tarneit - Central","Victoria",27
"Canadian - Mount Clear","Victoria",27
"Stafford Heights","Queensland",27
"Nundah","Queensland",27
"Carina Heights","Queensland",27
"Augustine Heights - Brookwater","Queensland",27
"Hope Island","Queensland",27
"Clear Island Waters","Queensland",27
"Wellard (West) - Bertram","Western Australia",27
"Kingston - Huntingfield","Tasmania",27
"Ngunnawal","Australian Capital Territory",27
"Belmore - Belfield","New South Wales",26
"Sans Souci - Ramsgate","New South Wales",26
"Bexley - North","New South Wales",26
