SERIALNO,POBP,ANC1P,ANC2P,RAC1P,HISP,SEX,AGEP,PWGTP,POBP_SP,ANC1P_SP,ANC2P_SP,RAC1P_SP,HISP_SP,RELSHIPP_SP,gen,gender,partnership_type,age_group,spouse_iran,spouse_mena,spouse_white,spouse_hsp,spouse,PERWT,AGE,BPL,ANCESTR1,ANCESTR2,RACE,HISPAN,BPL_SP,ANCESTR1_SP,ANCESTR2_SP,RACE_SP,HISPAN_SP
2023HU0171990,212,998,416,1,1,1,36,11,36,939,999,1,1,21,1st gen,Male,Married,30-39,No,No,Yes,No,Other White,11,36,212,998,416,1,1,36,939,999,1,1
2023HU0199875,136,416,999,1,1,1,43,22,239,431,999,1,1,22,2nd gen,Male,Unmarried partner,40-49,No,Yes,Yes,No,Other MENA,22,43,136,416,999,1,1,239,431,999,1,1
2023HU0282975,212,416,999,1,1,1,55,121,212,416,999,1,1,21,1st gen,Male,Married,50-59,Yes,Yes,Yes,No,Iranian,121,55,212,416,999,1,1,212,416,999,1,1
2023HU0387829,212,416,999,1,1,1,54,30,132,32,125,1,1,21,1st gen,Male,Married,50-59,No,No,Yes,No,Other White,30,54,212,416,999,1,1,132,32,125,1,1
2023HU0404798,469,416,999,1,1,1,73,17,212,416,999,1,1,21,2nd gen,Male,Married,70-79,Yes,Yes,Yes,No,Iranian,17,73,469,416,999,1,1,212,416,999,1,1
2023HU0468279,212,416,999,1,1,1,63,18,212,416,999,1,1,21,1st gen,Male,Married,60-69,Yes,Yes,Yes,No,Iranian,18,63,212,416,999,1,1,212,416,999,1,1
2023HU0541460,212,416,999,9,1,1,69,36,39,22,21,1,1,22,1st gen,Male,Unmarried partner,60-69,No,No,Yes,No,Other White,36,69,212,416,999,9,1,39,22,21,1,1
2023HU0621110,36,416,32,9,1,2,40,18,4,98,50,1,1,22,2nd gen,Female,Unmarried partner,40-49,No,No,Yes,No,Other White,18,40,36,416,32,9,1,4,98,50,1,1
2023HU0624854,212,442,999,1,1,1,60,11,212,416,999,1,1,21,1st gen,Male,Married,60-69,Yes,Yes,Yes,No,Iranian,11,60,212,442,999,1,1,212,416,999,1,1
2023HU0631557,212,416,999,1,1,1,34,39,212,416,999,1,1,21,1st gen,Male,Married,30-39,Yes,Yes,Yes,No,Iranian,39,34,212,416,999,1,1,212,416,999,1,1
2023HU0632352,40,924,416,1,1,1,44,24,4,290,210,1,2,21,2nd gen,Male,Married,40-49,No,No,No,Yes,Hispanic,24,44,40,924,416,1,1,4,290,210,1,2
2023HU0644073,212,416,999,1,1,1,72,33,139,11,999,1,1,21,1st gen,Male,Married,70-79,No,No,Yes,No,Other White,33,72,212,416,999,1,1,139,11,999,1,1
2023HU0704085,212,416,999,1,1,1,57,38,212,416,999,1,1,21,1st gen,Male,Married,50-59,Yes,Yes,Yes,No,Iranian,38,57,212,416,999,1,1,212,416,999,1,1
2023HU0831473,212,416,999,1,1,1,61,26,212,416,999,1,1,21,1st gen,Male,Married,60-69,Yes,Yes,Yes,No,Iranian,26,61,212,416,999,1,1,212,416,999,1,1
2023HU0841385,212,416,999,1,1,1,60,37,212,416,999,1,1,21,1st gen,Male,Married,60-69,Yes,Yes,Yes,No,Iranian,37,60,212,416,999,1,1,212,416,999,1,1
2023HU0942277,212,431,999,1,1,1,67,39,212,431,999,1,1,21,1st gen,Male,Married,60-69,Yes,Yes,Yes,No,Iranian,39,67,212,431,999,1,1,212,431,999,1,1
2023HU0943057,212,999,999,1,1,1,69,15,212,416,999,1,1,21,1st gen,Male,Married,60-69,Yes,Yes,Yes,No,Iranian,15,69,212,999,999,1,1,212,416,999,1,1
2023HU1007117,212,999,999,1,1,1,66,11,303,210,999,9,2,21,1st gen,Male,Married,60-69,No,No,No,Yes,Hispanic,11,66,212,999,999,1,1,303,210,999,9,2
2023HU1134854,212,416,999,1,1,1,77,11,29,32,999,1,1,21,1st gen,Male,Married,70-79,No,No,Yes,No,Other White,11,77,212,416,999,1,1,29,32,999,1,1
2023HU1158041,212,416,999,1,1,1,44,26,212,999,999,1,1,21,1st gen,Male,Married,40-49,Yes,No,Yes,No,Iranian,26,44,212,416,999,1,1,212,999,999,1,1
2023HU1218240,212,32,50,1,1,1,45,7,42,50,999,1,1,21,1st gen,Male,Married,40-49,No,No,Yes,No,Other White,7,45,212,32,50,1,1,42,50,999,1,1
2023HU1250146,212,442,999,9,1,2,58,13,36,51,999,1,1,21,1st gen,Female,Married,50-59,No,No,Yes,No,Other White,13,58,212,442,999,9,1,36,51,999,1,1
