YEAR,SERIAL,HHWT,STATEFIP,HHINCOME,PERWT,SEX,AGE,BPL,ANCESTR1,ANCESTR2,CITIZEN,YRIMMIG,SCHL,EMPSTAT,CLASSWKR,OCC,WKHP,INCTOT,INCWAGE,POVERTY,REGION,PUMA,educ_factor,age,gender,bpl,gen,class_wkrd,emp_stat,CITIZEN2,born_in_iran,any_iranian_anc,generation,is_child_of_iranian
2024,2024HU0027257,10,1,150600,9,1,18,1,51,416,1,1937,14,6,0,N,0,20600,0,501,3,02802,Some high school,18,Male,1,2nd gen,N/A,Not in labor force,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0096940,8,1,164800,9,2,58,212,416,999,4,1966,16,1,6,4510,25,25000,0,501,3,01404,High school degree,58,Female,212,1st gen,Self-employed,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0096940,8,1,164800,27,1,68,212,416,999,4,1982,15,6,1,9365,0,8400,0,501,3,01404,Some high school,68,Male,212,1st gen,Private sector employee,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0096940,8,1,164800,9,2,28,1,416,999,1,1937,19,1,1,4710,40,60000,55000,501,3,01404,Some college,28,Female,1,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0096940,8,1,164800,9,2,26,1,416,999,1,1937,21,1,1,4710,40,71400,70000,501,3,01404,Bachelors degree,26,Female,1,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0249728,33,1,65000,34,2,62,212,416,999,4,1989,22,3,1,1970,0,0,0,310,3,01401,Graduate degree,62,Female,212,1st gen,Private sector employee,Unemployed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0249728,33,1,65000,37,2,31,1,416,999,1,1937,23,1,1,2100,60,65000,65000,310,3,01401,Graduate degree,31,Female,1,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0380934,21,1,116300,20,1,62,212,416,999,4,1996,18,1,1,0440,50,103000,83000,501,3,01404,Some college,62,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0380934,21,1,116300,23,2,60,212,416,999,4,1996,16,1,1,4510,25,13300,13300,501,3,01404,High school degree,60,Female,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0532645,5,1,116400,6,2,63,24,416,32,1,1937,16,1,1,1010,20,62000,62000,370,3,01401,High school degree,63,Female,24,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0532645,5,1,116400,6,2,25,47,50,88,1,1937,21,1,1,1010,40,50000,50000,370,3,01401,Bachelors degree,25,Female,47,2nd gen,Private sector employee,Employed,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0532645,5,1,116400,5,2,21,47,50,88,1,1937,16,6,0,N,0,0,0,370,3,01401,High school degree,21,Female,47,2nd gen,N/A,Not in labor force,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0532645,5,1,116400,8,1,19,47,50,88,1,1937,16,1,1,0440,20,4400,4400,370,3,01401,High school degree,19,Male,47,2nd gen,Private sector employee,Employed,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU0625181,16,1,7800,16,1,65,212,416,999,4,1982,19,6,0,N,0,7800,0,53,3,01202,Some college,65,Male,212,1st gen,N/A,Not in labor force,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0631633,22,1,140200,18,1,59,39,32,416,1,1937,16,1,1,9760,40,109000,109000,501,3,01301,High school degree,59,Male,39,2nd gen,Private sector employee,Employed,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0682150,14,1,99000,14,2,60,110,32,416,4,1983,22,1,2,2004,45,54000,54000,477,3,00401,Graduate degree,60,Female,110,2nd gen,Non-profit employee,Employed,Naturalized citizen,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0682150,14,1,99000,14,2,55,212,416,999,4,1983,16,1,1,4030,40,45000,45000,477,3,00401,High school degree,55,Female,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0782452,12,1,145800,11,1,33,212,416,999,4,1997,22,1,1,1320,40,145800,145000,464,3,00403,Graduate degree,33,Male,212,1st gen,Private sector employee,Employed,Naturalized citizen,TRUE,TRUE,First generation,FALSE
2024,2024HU0782452,12,1,145800,30,1,3,1,416,999,1,1937,1,0,0,N,0,-19999,-1,464,3,00403,Less than high school,3,Male,1,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU0782452,12,1,145800,29,1,1,1,416,999,1,1937,0,0,0,N,0,-19999,-1,464,3,00403,No schooling or N/A,1,Male,1,2nd gen,N/A,N/A,US-born,FALSE,TRUE,Second+ generation,FALSE
2024,2024HU1080659,22,1,92000,22,2,56,212,999,999,4,1983,21,1,7,3648,40,88000,88000,376,3,01404,Bachelors degree,56,Female,212,1st gen,Self-employed,Employed,Naturalized citizen,TRUE,FALSE,First generation,FALSE
2024,2024HU1080659,22,1,92000,27,1,23,1,999,999,1,1937,21,3,2,2440,0,0,0,376,3,01404,Bachelors degree,23,Male,1,2nd gen,Non-profit employee,Unemployed,US-born,FALSE,FALSE,Second+ generation,TRUE
2024,2024HU1167820,6,1,91800,5,2,47,212,939,999,3,1977,20,1,4,2205,40,40000,20000,234,3,02500,Some college,47,Female,212,1st gen,Public sector employee,Employed,US-born,TRUE,FALSE,First generation,FALSE
2024,2024HU1167820,6,1,91800,9,2,14,1,939,999,1,1937,11,0,0,N,0,-19999,-1,234,3,02500,Less than high school,14,Female,1,2nd gen,N/A,N/A,US-born,FALSE,FALSE,Second+ generation,TRUE
